,device_name,mac_addr,eddystone_instance_id,rssi,timestamp
10:43.2,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-85,10:43.2
10:43.4,AgileVision Beacon,E6:19:C3:98:50:7C,4,-92,10:43.4
10:43.4,AgileVision Beacon,D9:77:0F:A8:70:38,2,-54,10:43.4
10:43.4,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-78,10:43.4
10:43.4,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-80,10:43.4
10:43.6,AgileVision Beacon,E6:19:C3:98:50:7C,4,-90,10:43.6
10:43.7,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-90,10:43.7
10:43.8,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-85,10:43.8
10:43.8,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-85,10:43.8
10:43.8,AgileVision Beacon,D9:77:0F:A8:70:38,2,-52,10:43.8
10:43.8,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-71,10:43.8
10:44.0,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-87,10:44.0
10:44.2,AgileVision Beacon,E6:19:C3:98:50:7C,4,-86,10:44.2
10:44.2,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-90,10:44.2
10:44.2,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-89,10:44.2
10:44.2,AgileVision Beacon,D9:77:0F:A8:70:38,2,-49,10:44.2
10:44.3,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-75,10:44.3
10:44.6,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-75,10:44.6
10:44.6,AgileVision Beacon,E6:19:C3:98:50:7C,4,-91,10:44.6
10:44.6,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-85,10:44.6
10:44.6,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-91,10:44.6
10:44.7,AgileVision Beacon,D9:77:0F:A8:70:38,2,-47,10:44.7
10:44.7,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-80,10:44.7
10:44.9,AgileVision Beacon,D9:77:0F:A8:70:38,2,-49,10:44.9
10:45.0,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-78,10:45.0
10:45.0,AgileVision Beacon,E6:19:C3:98:50:7C,4,-92,10:45.0
10:45.1,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-92,10:45.1
10:45.1,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-94,10:45.1
10:45.1,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-78,10:45.1
10:45.2,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-98,10:45.2
10:45.4,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-91,10:45.4
10:45.4,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-78,10:45.4
10:45.4,AgileVision Beacon,D9:77:0F:A8:70:38,2,-49,10:45.4
10:45.4,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-77,10:45.4
10:45.5,AgileVision Beacon,E6:19:C3:98:50:7C,4,-91,10:45.5
10:45.6,AgileVision Beacon,E6:19:C3:98:50:7C,4,-92,10:45.6
10:45.8,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-78,10:45.8
10:45.8,AgileVision Beacon,D9:77:0F:A8:70:38,2,-49,10:45.8
10:45.9,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-78,10:45.9
10:46.0,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-94,10:46.0
10:46.1,AgileVision Beacon,D9:77:0F:A8:70:38,2,-48,10:46.1
10:46.2,AgileVision Beacon,E6:19:C3:98:50:7C,4,-91,10:46.2
10:46.2,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-89,10:46.2
10:46.2,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-76,10:46.2
10:46.3,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-78,10:46.3
10:46.4,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-94,10:46.4
