,device_name,mac_addr,eddystone_instance_id,rssi,timestamp
06:09.8,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-49,06:09.8
06:09.8,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-87,06:09.8
06:09.8,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-95,06:09.8
06:09.9,AgileVision Beacon,E6:19:C3:98:50:7C,4,-75,06:09.9
06:10.2,AgileVision Beacon,E6:19:C3:98:50:7C,4,-72,06:10.2
06:10.2,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-85,06:10.2
06:10.2,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-52,06:10.2
06:10.3,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-93,06:10.3
06:10.6,AgileVision Beacon,E6:19:C3:98:50:7C,4,-73,06:10.6
06:10.7,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-84,06:10.7
06:10.7,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-51,06:10.7
06:10.7,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-95,06:10.7
06:11.0,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-84,06:11.0
06:11.1,AgileVision Beacon,E6:19:C3:98:50:7C,4,-73,06:11.1
06:11.1,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-53,06:11.1
06:11.1,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-97,06:11.1
06:11.4,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-52,06:11.4
06:11.4,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-93,06:11.4
06:11.5,AgileVision Beacon,E6:19:C3:98:50:7C,4,-73,06:11.5
06:11.5,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-84,06:11.5
06:11.6,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-91,06:11.6
06:11.8,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-90,06:11.8
06:11.8,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-50,06:11.8
06:11.9,AgileVision Beacon,D9:77:0F:A8:70:38,2,-88,06:11.9
06:11.9,AgileVision Beacon,E6:19:C3:98:50:7C,4,-69,06:11.9
06:12.2,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-89,06:12.2
06:12.3,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-51,06:12.3
06:12.3,AgileVision Beacon,D9:77:0F:A8:70:38,2,-89,06:12.3
06:12.3,AgileVision Beacon,E6:19:C3:98:50:7C,4,-72,06:12.3
06:12.6,AgileVision Beacon,D9:77:0F:A8:70:38,2,-88,06:12.6
06:12.7,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-81,06:12.7
06:12.7,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-52,06:12.7
06:12.7,AgileVision Beacon,E6:19:C3:98:50:7C,4,-72,06:12.7
06:13.0,AgileVision Beacon,D9:77:0F:A8:70:38,2,-87,06:13.0
06:13.0,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-97,06:13.0
06:13.0,AgileVision Beacon,E6:19:C3:98:50:7C,4,-73,06:13.0
06:13.1,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-79,06:13.1
06:13.1,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-51,06:13.1
06:13.2,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-96,06:13.2
06:13.4,AgileVision Beacon,D9:77:0F:A8:70:38,2,-89,06:13.4
06:13.5,AgileVision Beacon,E6:19:C3:98:50:7C,4,-69,06:13.5
06:13.5,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-87,06:13.5
06:13.5,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-47,06:13.5
06:13.9,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-45,06:13.9
06:13.9,AgileVision Beacon,D9:77:0F:A8:70:38,2,-91,06:13.9
06:13.9,AgileVision Beacon,E6:19:C3:98:50:7C,4,-72,06:13.9
06:13.9,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-96,06:13.9
06:13.9,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-89,06:13.9
06:14.2,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-100,06:14.2
06:14.3,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-46,06:14.3
06:14.3,AgileVision Beacon,D9:77:0F:A8:70:38,2,-89,06:14.3
06:14.3,AgileVision Beacon,E6:19:C3:98:50:7C,4,-71,06:14.3
06:14.3,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-86,06:14.3
06:14.7,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-85,06:14.7
06:14.7,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-46,06:14.7
06:14.7,AgileVision Beacon,D9:77:0F:A8:70:38,2,-90,06:14.7
06:14.7,AgileVision Beacon,E6:19:C3:98:50:7C,4,-70,06:14.7
06:15.0,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-84,06:15.0
06:15.0,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-47,06:15.0
06:15.0,AgileVision Beacon,E6:19:C3:98:50:7C,4,-69,06:15.0
06:15.1,AgileVision Beacon,D9:77:0F:A8:70:38,2,-92,06:15.1
06:15.5,AgileVision Beacon,E6:19:C3:98:50:7C,4,-69,06:15.5
06:15.5,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-84,06:15.5
06:15.5,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-47,06:15.5
06:15.5,AgileVision Beacon,D9:77:0F:A8:70:38,2,-93,06:15.5
06:15.9,AgileVision Beacon,D9:77:0F:A8:70:38,2,-92,06:15.9
06:15.9,AgileVision Beacon,E6:19:C3:98:50:7C,4,-70,06:15.9
06:15.9,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-85,06:15.9
06:16.0,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-46,06:16.0
06:16.1,AgileVision Beacon,D9:77:0F:A8:70:38,2,-92,06:16.1
06:16.3,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-47,06:16.3
06:16.3,AgileVision Beacon,E6:19:C3:98:50:7C,4,-70,06:16.3
06:16.4,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-82,06:16.4
06:16.7,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-82,06:16.7
06:16.7,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-48,06:16.7
06:16.7,AgileVision Beacon,D9:77:0F:A8:70:38,2,-92,06:16.7
06:16.8,AgileVision Beacon,E6:19:C3:98:50:7C,4,-69,06:16.8
06:17.1,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-80,06:17.1
06:17.1,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-94,06:17.1
06:17.1,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-49,06:17.1
06:17.1,AgileVision Beacon,D9:77:0F:A8:70:38,2,-89,06:17.1
06:17.2,AgileVision Beacon,E6:19:C3:98:50:7C,4,-71,06:17.2
06:17.2,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-91,06:17.2
06:17.5,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-92,06:17.5
06:17.5,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-80,06:17.5
06:17.5,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-95,06:17.5
06:17.5,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-49,06:17.5
06:17.5,AgileVision Beacon,D9:77:0F:A8:70:38,2,-91,06:17.5
06:17.6,AgileVision Beacon,E6:19:C3:98:50:7C,4,-71,06:17.6
06:17.9,AgileVision Beacon,E6:19:C3:98:50:7C,4,-71,06:17.9
06:17.9,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-90,06:17.9
06:17.9,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-80,06:17.9
06:17.9,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-49,06:17.9
06:17.9,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-95,06:17.9
06:18.0,AgileVision Beacon,D9:77:0F:A8:70:38,2,-90,06:18.0
06:18.3,AgileVision Beacon,E6:19:C3:98:50:7C,4,-71,06:18.3
06:18.3,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-92,06:18.3
06:18.3,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-80,06:18.3
06:18.4,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-49,06:18.4
06:18.4,AgileVision Beacon,D9:77:0F:A8:70:38,2,-88,06:18.4
06:18.4,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-95,06:18.4
06:18.7,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-95,06:18.7
06:18.7,AgileVision Beacon,E6:19:C3:98:50:7C,4,-71,06:18.7
06:18.7,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-92,06:18.7
06:18.8,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-80,06:18.8
06:18.8,AgileVision Beacon,D9:77:0F:A8:70:38,2,-90,06:18.8
06:18.8,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-49,06:18.8
06:19.1,AgileVision Beacon,D9:77:0F:A8:70:38,2,-89,06:19.1
06:19.1,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-95,06:19.1
06:19.1,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-49,06:19.1
06:19.2,AgileVision Beacon,E6:19:C3:98:50:7C,4,-71,06:19.2
06:19.2,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-90,06:19.2
06:19.2,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-80,06:19.2
06:19.5,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-91,06:19.5
06:19.5,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-79,06:19.5
06:19.5,AgileVision Beacon,D9:77:0F:A8:70:38,2,-89,06:19.5
06:19.5,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-93,06:19.5
06:19.5,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-49,06:19.5
06:19.6,AgileVision Beacon,E6:19:C3:98:50:7C,4,-70,06:19.6
06:19.9,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-90,06:19.9
06:19.9,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-80,06:19.9
06:19.9,AgileVision Beacon,D9:77:0F:A8:70:38,2,-90,06:19.9
06:19.9,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-93,06:19.9
06:19.9,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-49,06:19.9
06:20.0,AgileVision Beacon,E6:19:C3:98:50:7C,4,-71,06:20.0
06:20.3,AgileVision Beacon,E6:19:C3:98:50:7C,4,-71,06:20.3
06:20.3,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-80,06:20.3
06:20.3,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-91,06:20.3
06:20.3,AgileVision Beacon,D9:77:0F:A8:70:38,2,-89,06:20.3
06:20.4,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-92,06:20.4
06:20.4,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-49,06:20.4
06:20.7,AgileVision Beacon,E6:19:C3:98:50:7C,4,-71,06:20.7
06:20.7,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-80,06:20.7
06:20.7,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-90,06:20.7
06:20.8,AgileVision Beacon,D9:77:0F:A8:70:38,2,-89,06:20.8
06:20.8,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-94,06:20.8
06:20.8,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-49,06:20.8
06:21.1,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-92,06:21.1
06:21.1,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-50,06:21.1
06:21.2,AgileVision Beacon,E6:19:C3:98:50:7C,4,-71,06:21.2
06:21.2,AgileVision Beacon,D9:77:0F:A8:70:38,2,-88,06:21.2
06:21.2,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-80,06:21.2
06:21.2,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-93,06:21.2
06:21.5,AgileVision Beacon,E6:19:C3:98:50:7C,4,-71,06:21.5
06:21.5,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-94,06:21.5
06:21.6,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-49,06:21.6
06:21.6,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-79,06:21.6
06:21.6,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-90,06:21.6
06:21.6,AgileVision Beacon,D9:77:0F:A8:70:38,2,-90,06:21.6
06:21.9,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-48,06:21.9
06:21.9,AgileVision Beacon,E6:19:C3:98:50:7C,4,-71,06:21.9
06:21.9,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-96,06:21.9
06:22.0,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-80,06:22.0
06:22.0,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-90,06:22.0
06:22.3,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-91,06:22.3
06:22.4,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-97,06:22.4
06:22.4,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-48,06:22.4
