,device_name,mac_addr,eddystone_instance_id,rssi,timestamp
03:03.4,AgileVision Beacon,D9:77:0F:A8:70:38,2,-78,03:03.4
03:03.6,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-88,03:03.6
03:03.6,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-82,03:03.6
03:03.6,AgileVision Beacon,E6:19:C3:98:50:7C,4,-88,03:03.6
03:03.7,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-43,03:03.7
03:03.8,AgileVision Beacon,D9:77:0F:A8:70:38,2,-83,03:03.8
03:04.0,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-52,03:04.0
03:04.0,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-81,03:04.0
03:04.0,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-78,03:04.0
03:04.0,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-77,03:04.0
03:04.1,AgileVision Beacon,E6:19:C3:98:50:7C,4,-81,03:04.1
03:04.2,AgileVision Beacon,E6:19:C3:98:50:7C,4,-80,03:04.2
03:04.4,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-50,03:04.4
03:04.4,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-80,03:04.4
03:04.4,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-77,03:04.4
03:04.5,AgileVision Beacon,D9:77:0F:A8:70:38,2,-88,03:04.5
03:04.5,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-77,03:04.5
03:04.8,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-77,03:04.8
03:04.8,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-51,03:04.8
03:04.8,AgileVision Beacon,E6:19:C3:98:50:7C,4,-80,03:04.8
03:04.8,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-81,03:04.8
03:04.8,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-77,03:04.8
03:04.9,AgileVision Beacon,D9:77:0F:A8:70:38,2,-87,03:04.9
03:05.2,AgileVision Beacon,D9:77:0F:A8:70:38,2,-86,03:05.2
03:05.2,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-77,03:05.2
03:05.2,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-50,03:05.2
03:05.2,AgileVision Beacon,E6:19:C3:98:50:7C,4,-80,03:05.2
03:05.3,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-80,03:05.3
03:05.3,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-77,03:05.3
03:05.5,AgileVision Beacon,D9:77:0F:A8:70:38,2,-85,03:05.5
03:05.5,AgileVision Beacon,E6:19:C3:98:50:7C,4,-80,03:05.5
03:05.6,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-77,03:05.6
03:05.6,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-51,03:05.6
03:05.6,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-78,03:05.6
03:05.7,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-80,03:05.7
03:06.0,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-81,03:06.0
03:06.0,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-77,03:06.0
03:06.0,AgileVision Beacon,D9:77:0F:A8:70:38,2,-86,03:06.0
03:06.1,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-51,03:06.1
03:06.1,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-78,03:06.1
03:06.1,AgileVision Beacon,E6:19:C3:98:50:7C,4,-79,03:06.1
03:06.4,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-81,03:06.4
03:06.4,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-78,03:06.4
03:06.5,AgileVision Beacon,D9:77:0F:A8:70:38,2,-85,03:06.5
03:06.5,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-78,03:06.5
03:06.5,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-50,03:06.5
03:06.5,AgileVision Beacon,E6:19:C3:98:50:7C,4,-80,03:06.5
03:06.8,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-77,03:06.8
03:06.8,AgileVision Beacon,E6:19:C3:98:50:7C,4,-80,03:06.8
03:06.8,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-82,03:06.8
03:06.9,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-82,03:06.9
03:06.9,AgileVision Beacon,D9:77:0F:A8:70:38,2,-74,03:06.9
03:06.9,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-49,03:06.9
03:07.2,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-49,03:07.2
03:07.2,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-86,03:07.2
03:07.2,AgileVision Beacon,E6:19:C3:98:50:7C,4,-77,03:07.2
03:07.3,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-82,03:07.3
03:07.3,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-82,03:07.3
03:07.3,AgileVision Beacon,D9:77:0F:A8:70:38,2,-74,03:07.3
03:07.6,AgileVision Beacon,D9:77:0F:A8:70:38,2,-74,03:07.6
03:07.6,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-81,03:07.6
03:07.6,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-48,03:07.6
03:07.6,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-85,03:07.6
03:07.6,AgileVision Beacon,E6:19:C3:98:50:7C,4,-77,03:07.6
03:07.7,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-82,03:07.7
03:08.0,AgileVision Beacon,D9:77:0F:A8:70:38,2,-73,03:08.0
03:08.0,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-82,03:08.0
03:08.0,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-48,03:08.0
03:08.0,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-85,03:08.0
03:08.1,AgileVision Beacon,E6:19:C3:98:50:7C,4,-77,03:08.1
03:08.1,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-81,03:08.1
03:08.4,AgileVision Beacon,D9:77:0F:A8:70:38,2,-74,03:08.4
03:08.4,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-82,03:08.4
03:08.5,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-85,03:08.5
03:08.5,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-49,03:08.5
03:08.5,AgileVision Beacon,E6:19:C3:98:50:7C,4,-77,03:08.5
03:08.5,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-82,03:08.5
03:08.8,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-81,03:08.8
03:08.8,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-82,03:08.8
03:08.9,AgileVision Beacon,D9:77:0F:A8:70:38,2,-72,03:08.9
03:08.9,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-49,03:08.9
03:08.9,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-85,03:08.9
03:08.9,AgileVision Beacon,E6:19:C3:98:50:7C,4,-77,03:08.9
03:09.2,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-82,03:09.2
03:09.3,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-82,03:09.3
03:09.3,AgileVision Beacon,D9:77:0F:A8:70:38,2,-74,03:09.3
03:09.3,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-49,03:09.3
03:09.3,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-84,03:09.3
03:09.3,AgileVision Beacon,E6:19:C3:98:50:7C,4,-77,03:09.3
03:09.6,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-82,03:09.6
03:09.6,AgileVision Beacon,D9:77:0F:A8:70:38,2,-75,03:09.6
03:09.6,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-83,03:09.6
03:09.6,AgileVision Beacon,E6:19:C3:98:50:7C,4,-77,03:09.6
03:09.7,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-82,03:09.7
03:09.7,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-49,03:09.7
03:10.0,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-48,03:10.0
03:10.1,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-83,03:10.1
03:10.1,AgileVision Beacon,E6:19:C3:98:50:7C,4,-77,03:10.1
03:10.1,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-81,03:10.1
03:10.1,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-82,03:10.1
03:10.1,AgileVision Beacon,D9:77:0F:A8:70:38,2,-74,03:10.1
03:10.4,AgileVision Beacon,D9:77:0F:A8:70:38,2,-74,03:10.4
03:10.5,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-48,03:10.5
03:10.5,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-84,03:10.5
03:10.5,AgileVision Beacon,E6:19:C3:98:50:7C,4,-77,03:10.5
03:10.5,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-83,03:10.5
03:10.5,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-81,03:10.5
03:10.8,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-82,03:10.8
03:10.9,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-49,03:10.9
03:10.9,AgileVision Beacon,D9:77:0F:A8:70:38,2,-74,03:10.9
03:10.9,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-83,03:10.9
03:10.9,AgileVision Beacon,E6:19:C3:98:50:7C,4,-78,03:10.9
03:10.9,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-83,03:10.9
03:11.3,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-81,03:11.3
03:11.3,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-48,03:11.3
03:11.3,AgileVision Beacon,D9:77:0F:A8:70:38,2,-74,03:11.3
03:11.3,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-84,03:11.3
03:11.3,AgileVision Beacon,E6:19:C3:98:50:7C,4,-77,03:11.3
03:11.3,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-83,03:11.3
03:11.7,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-82,03:11.7
03:11.7,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-82,03:11.7
03:11.7,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-48,03:11.7
03:11.7,AgileVision Beacon,D9:77:0F:A8:70:38,2,-74,03:11.7
03:11.7,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-84,03:11.7
03:11.8,AgileVision Beacon,E6:19:C3:98:50:7C,4,-77,03:11.8
03:12.0,AgileVision Beacon,E6:19:C3:98:50:7C,4,-86,03:12.0
03:12.1,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-83,03:12.1
03:12.1,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-79,03:12.1
03:12.1,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-47,03:12.1
03:12.1,AgileVision Beacon,D9:77:0F:A8:70:38,2,-76,03:12.1
03:12.1,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-79,03:12.1
03:12.4,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-79,03:12.4
03:12.4,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-47,03:12.4
03:12.5,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-79,03:12.5
03:12.5,AgileVision Beacon,E6:19:C3:98:50:7C,4,-86,03:12.5
03:12.5,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-82,03:12.5
03:12.6,AgileVision Beacon,D9:77:0F:A8:70:38,2,-76,03:12.6
03:12.8,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-82,03:12.8
03:12.8,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-47,03:12.8
03:12.9,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-79,03:12.9
03:12.9,AgileVision Beacon,D9:77:0F:A8:70:38,2,-76,03:12.9
03:12.9,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-79,03:12.9
03:12.9,AgileVision Beacon,E6:19:C3:98:50:7C,4,-86,03:12.9
03:13.2,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-83,03:13.2
03:13.3,AgileVision Beacon,D9:77:0F:A8:70:38,2,-76,03:13.3
03:13.3,AgileVision Beacon,E6:19:C3:98:50:7C,4,-86,03:13.3
03:13.3,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-80,03:13.3
03:13.4,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-80,03:13.4
03:13.4,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-48,03:13.4
03:13.7,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-48,03:13.7
03:13.7,AgileVision Beacon,D9:77:0F:A8:70:38,2,-76,03:13.7
03:13.7,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-80,03:13.7
03:13.7,AgileVision Beacon,E6:19:C3:98:50:7C,4,-86,03:13.7
03:13.8,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-83,03:13.8
03:13.8,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-79,03:13.8
03:14.0,AgileVision Beacon,E6:19:C3:98:50:7C,4,-86,03:14.0
03:14.1,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-80,03:14.1
03:14.1,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-79,03:14.1
03:14.1,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-47,03:14.1
03:14.1,AgileVision Beacon,D9:77:0F:A8:70:38,2,-77,03:14.1
03:14.2,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-83,03:14.2
