,device_name,mac_addr,eddystone_instance_id,rssi,timestamp
04:26.5,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-91,04:26.5
04:26.5,AgileVision Beacon,D9:77:0F:A8:70:38,2,-46,04:26.5
04:26.5,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-83,04:26.5
04:26.9,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-81,04:26.9
04:26.9,AgileVision Beacon,D9:77:0F:A8:70:38,2,-43,04:26.9
04:26.9,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-86,04:26.9
04:26.9,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-95,04:26.9
04:27.2,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-92,04:27.2
04:27.3,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-81,04:27.3
04:27.3,AgileVision Beacon,D9:77:0F:A8:70:38,2,-42,04:27.3
04:27.3,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-83,04:27.3
04:27.3,AgileVision Beacon,C1:E2:F7:D0:6B:8C,6,-96,04:27.3
04:27.6,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-93,04:27.6
04:27.7,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-83,04:27.7
04:27.7,AgileVision Beacon,D9:77:0F:A8:70:38,2,-43,04:27.7
04:27.7,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-82,04:27.7
04:28.0,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-82,04:28.0
04:28.1,AgileVision Beacon,E6:19:C3:98:50:7C,4,-99,04:28.1
04:28.1,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-92,04:28.1
04:28.1,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-82,04:28.1
04:28.1,AgileVision Beacon,D9:77:0F:A8:70:38,2,-42,04:28.1
04:28.2,AgileVision Beacon,E6:19:C3:98:50:7C,4,-96,04:28.2
04:28.4,AgileVision Beacon,D9:77:0F:A8:70:38,2,-42,04:28.4
04:28.5,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-81,04:28.5
04:28.5,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-93,04:28.5
04:28.5,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-82,04:28.5
04:28.7,AgileVision Beacon,E6:19:C3:98:50:7C,4,-96,04:28.7
04:28.7,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-83,04:28.7
04:28.9,AgileVision Beacon,D9:77:0F:A8:70:38,2,-43,04:28.9
04:28.9,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-81,04:28.9
04:28.9,AgileVision Beacon,FB:48:A7:41:3F:C8,3,-91,04:28.9
04:29.2,AgileVision Beacon,F7:7C:03:9B:24:1D,5,-84,04:29.2
04:29.2,AgileVision Beacon,E6:19:C3:98:50:7C,4,-95,04:29.2
04:29.3,AgileVision Beacon,D9:77:0F:A8:70:38,2,-42,04:29.3
04:29.3,AgileVision Beacon,C8:7E:06:A7:D7:3E,1,-81,04:29.3
